대여소번호,대여소명,자치구,상세주소,위도,경도,설치시기,LCD,QR,운영방식,자전거수,연도,월,일,요일
4766.0,서소문성지역사박물관,중구,서울특별시 중구 중림동 373,37.56024551,126.96878052,2020-10-05 00:00:00.000,,23.0,QR,23,2020,10,5,0
4768.0,서울도시건축전시관,중구,서울특별시 중구 태평로1가 60-20,37.5670166,126.97683716,2021-03-18 00:00:00.000,,12.0,QR,12,2021,3,18,3
4772.0,중앙일보,중구,서울특별시 중구 서소문동58-6,37.56253433,126.97249603,2020-10-05 00:00:00.000,,10.0,QR,10,2020,10,5,0
4774.0,을지로입구역 8번출구,중구,서울특별시 중구 을지로1가 140-1,37.56590271,126.98178101,2020-09-23 00:00:00.000,,9.0,QR,9,2020,9,23,2
4775.0,을지로지하쇼핑센터,중구,서울특별시 중구 을지로 66 하나금융그룹 명동사옥,37.56589127,126.98445129,2020-09-24 00:00:00.000,,10.0,QR,10,2020,9,24,3
3013.0,서울지방고용노동청 앞,중구,서울특별시 중구 삼일대로 363 장교빌딩,37.56760406,126.98725891,2020-10-29 00:00:00.000,,10.0,QR,10,2020,10,29,3
4776.0,신세계면세점,중구,서울특별시 중구 충무로1가 54-2,37.56027603,126.98139191,2020-10-19 00:00:00.000,,10.0,QR,10,2020,10,19,0
4777.0,약수동 주민센터,중구,서울특별시 중구 다산로96,37.55281448,127.00919342,2021-05-17 00:00:00.000,,8.0,QR,8,2021,5,17,0
4778.0,대신파이낸스센터,중구,서울특별시 중구 삼일대로 343-1 가로판매대38,37.56520844,126.98739624,2020-10-19 00:00:00.000,,10.0,QR,10,2020,10,19,0
4781.0,브라운스위트레지던스,중구,서울특별시 중구 중립동 340-1,37.56147003,126.96801758,2020-10-05 00:00:00.000,,10.0,QR,10,2020,10,5,0
4782.0,서소문역사공원,중구,서울특별시 중구 의주로2가 16-6,37.56157303,126.9684906,2020-10-05 00:00:00.000,,10.0,QR,10,2020,10,5,0
4784.0,중부경찰서앞 사거리,중구,서울특별시 중구 저동2가 22-1,37.56459045,126.99076843,2020-10-19 00:00:00.000,,10.0,QR,10,2020,10,19,0
4785.0,롯데시티호텔,중구,서울특별시 중구 장교동 74,37.56691742,126.98783112,2020-10-19 00:00:00.000,,8.0,QR,8,2020,10,19,0
4791.0,명동역9번 출구,중구,서울특별시 중구 퇴계로 135-14 구두수선대124,37.56122589,126.98749542,2020-10-19 00:00:00.000,,10.0,QR,10,2020,10,19,0
4792.0,퇴계로4가 교차로(중구청),중구,서울특별시 중구 퇴계로 235 남산 센트럴 자이,37.5625267,126.9983139,2021-02-02 00:00:00.000,,10.0,QR,10,2021,2,2,1
4793.0,동대문역사문화공원역 5번출구,중구,서울특별시 중구 광희동 1가 202-5,37.56430817,127.00647736,2021-02-02 00:00:00.000,,10.0,QR,10,2021,2,2,1
4794.0,서울역 서부교차로(3),중구,서울특별시 중구 중구 한강대로 405,37.55540848,126.96942139,2021-04-13 00:00:00.000,,8.0,QR,8,2021,4,13,1
4796.0,부산은행,중구,서울특별시 중구 무교로 6,37.5664711,126.97925568,2021-03-09 00:00:00.000,,10.0,QR,10,2021,3,9,1
4797.0,KG타워 앞,중구,서울특별시 중구 통일로 92 케이지타워,37.56339645,126.96894073,2021-06-01 00:00:00.000,,13.0,QR,13,2021,6,1,1
4798.0,황학동롯데캐슬,중구,서울특별시 중구 중구 청계천로 400,37.57162094,127.02204132,2021-07-15 00:00:00.000,,10.0,QR,10,2021,7,15,3
4800.0,필동 삼거리,중구,서울특별시 중구 서애로 33 티엔에스빌딩,37.55969238,126.99648285,2022-03-07 00:00:00.000,,5.0,QR,5,2022,3,7,0
4801.0,충정로역 2호선(엘리베이터 앞),중구,서울특별시 중구 서소문로 18 에이원빌딩,37.55937576,126.96414185,2022-03-04 00:00:00.000,,5.0,QR,5,2022,3,4,4
6053.0,중부세무서 앞,중구,서울특별시 중구 남학동 12-1,37.56092453,126.99066162,2022-10-18 00:00:00.000,,5.0,QR,5,2022,10,18,1
6054.0,청구e편한세상아파트 113동 앞,중구,신당동 44-40,37.56104279,127.01821136,2023-01-19 00:00:00.000,,5.0,QR,5,2023,1,19,3
6055.0,한국경제,중구,중구 청파로 463,37.56062698,126.96768188,2023-07-21 00:00:00.000,,8.0,QR,8,2023,7,21,4
800.0,목월공원 앞,용산구,서울특별시 용산구 원효로4가 109-10 목월공원 앞,37.53243256,126.95474243,2016-06-29 12:00:00.000,15.0,,LCD,15,2016,6,29,2
802.0,한강진역 2번 출구 앞,용산구,서울특별시 용산구 한남동 726-494 한강진역 2번 출구 앞,37.54115295,127.00221252,2016-06-29 12:00:00.000,9.0,,LCD,9,2016,6,29,2
803.0,한남초교 앞 보도육교,용산구,서울특별시 용산구 한남동 725-17 한남초교 앞 보도육교,37.53813934,127.00409698,2016-06-29 12:00:00.000,10.0,,LCD,10,2016,6,29,2
805.0,문배어린이공원 앞,용산구,서울특별시 용산구 문배동 34-10 문배어린이공원 앞,37.53675842,126.97000122,2016-06-29 12:00:00.000,9.0,,LCD,9,2016,6,29,2
806.0,전자랜드 본관 앞,용산구,서울특별시 용산구 한강로3가 16-8 전자랜드 본관 앞,37.5330658,126.96073151,2016-06-29 12:00:00.000,20.0,,LCD,20,2016,6,29,2
807.0,서울역 12번 출구 앞,용산구,서울특별시 용산구 동자동 14-229 서울역 12번 출구 앞,37.55227661,126.97268677,2016-06-29 12:00:00.000,10.0,10.0,QR,20,2016,6,29,2
808.0,서빙고동 금호맨션 앞,용산구,서울특별시 용산구 서빙고동 235-5 서빙고동 금호맨션 앞,37.520504,126.98973846,2016-06-29 12:00:00.000,10.0,10.0,QR,20,2016,6,29,2
809.0,한남 유수지 복개주차장,용산구,서울특별시 용산구 독서당로 18 한남 유수지 복개주차장,37.53016663,127.00743866,2016-06-29 12:00:00.000,10.0,10.0,QR,20,2016,6,29,2
810.0,이태원지하보도,용산구,서울특별시 용산구 용산동2가 5-1812 이태원지하보도,37.53841019,126.98664856,2016-06-29 12:00:00.000,10.0,,LCD,10,2016,6,29,2
811.0,녹사평역1번출구,용산구,서울특별시 용산구 용산동2가 6-7 녹사평역1번출구,37.53507996,126.98538208,2016-06-29 12:00:00.000,20.0,20.0,QR,40,2016,6,29,2
812.0,용산전쟁기념관,용산구,서울특별시 용산구 용산동1가 8-4 용산전쟁기념관,37.53483963,126.97766113,2016-06-29 12:00:00.000,10.0,,LCD,10,2016,6,29,2
813.0,삼각지역 3번출구,용산구,서울특별시 용산구 한강로1가 228-1 삼각지역 3번출구,37.53351212,126.97227478,2016-06-29 12:00:00.000,20.0,20.0,QR,40,2016,6,29,2
815.0,LIG강촌아파트 103동앞,용산구,서울특별시 용산구 이촌동301-5 LIG강촌아파트 103동앞,37.51850891,126.97879791,2016-06-29 12:00:00.000,30.0,30.0,QR,60,2016,6,29,2
816.0,신용산역 6번출구 앞,용산구,서울특별시 용산구 한강대로 115 신용산역 6번출구 앞,37.53014755,126.96848297,2016-07-06 12:00:00.000,25.0,,LCD,25,2016,7,6,2
817.0,삼각지역 4번출구 앞,용산구,서울특별시 용산구 한강대로 161 삼각지역 4번출구 앞,37.53345108,126.97173309,2016-07-06 12:00:00.000,9.0,9.0,QR,18,2016,7,6,2
818.0,숙명여대 입구 교차로,용산구,서울특별시 용산구 청파로47길 100 숙명여대 입구 교차로,37.54489517,126.96938324,2016-07-06 12:00:00.000,12.0,12.0,QR,24,2016,7,6,2
819.0,선린인터넷 고등학교,용산구,서울특별시 용산구 원효로97길 33-4 선린인터넷 고등학교,37.54165268,126.97050476,2016-07-06 12:00:00.000,12.0,,LCD,12,2016,7,6,2
820.0,청파동입구 교차로,용산구,서울특별시 용산구 한강대로 349 청파동입구 교차로,37.54902649,126.97194672,2016-07-06 12:00:00.000,10.0,,LCD,10,2016,7,6,2
822.0,이촌1동 마을공원,용산구,서울특별시 용산구 이촌로 219 이촌1동 마을공원,37.52202606,126.96618652,2016-07-06 12:00:00.000,10.0,10.0,QR,20,2016,7,6,2
823.0,효창동주민센터 앞,용산구,서울특별시 용산구 효창원로 161 효창동주민센터 앞,37.54232025,126.96195984,2016-07-06 12:00:00.000,10.0,10.0,QR,20,2016,7,6,2
825.0,서빙고동 주민센터 앞,용산구,서울특별시 용산구 서빙고로 279 서빙고동 주민센터 앞,37.52033615,126.9942627,2016-07-06 12:00:00.000,15.0,15.0,QR,30,2016,7,6,2
827.0,국군복지단,용산구,서울특별시 용산구 두텁바위로 54-99 국군복지단,37.54188538,126.97966003,2017-11-28 11:56:23.000,14.0,,LCD,14,2017,11,28,1
